Acquisition date,Google company,Business,Category,Country list,Price,Used as or integrated with,Refs
"May 2, 2016",Synergyse,Interactive tutorials,Communication,CAN,—,Google Docs,[221]
"June 22, 2016",Webpass,Internet service provider,Misc,USA,—,Google Fiber,[222]
"July 6, 2016",Moodstocks,Image recognition,AI,FRA,—,Google Photos,[223]
"July 8, 2016",Anvato,Cloud-based video services,Cloud,USA,—,Google Cloud Platform,[224]
"July 12, 2016",Kifi,Link management,Mobile,USA,—,Spaces (app),[225]
"July 27, 2016",LaunchKit,Mobile tool maker,Mobile,USA,—,Android,[226]
"August 8, 2016",Orbitera,Cloud software,Cloud,USA,"$100,000,000",Google Cloud Platform,[227]
"September 8, 2016",Apigee,API management and predictive analytics,Cloud,USA,"$625,000,000",Google Cloud Platform,[228]
"September 15, 2016",Urban Engines,Location-based analytics,Maps,USA,-,Google Maps,[229][230]
"September 19, 2016",API.AI,Natural language processing,AI,USA,-,-,[231]
"October 11, 2016",FameBit,Branded content,Youtube,-,-,YouTube,[232]
"October 24, 2016",Eyefluence,"Eye tracking, virtual reality",AI,-,-,-,[233][234]
"December 13, 2016",Cronologics,Smartwatches,Mobile,USA,-,Android Wear,[235]
"January 5, 2017",Limes Audio,Voice communication,Communication,SWE,-,"Google Duo, Google Hangouts",[236]
"January 19, 2017",Fabric,Crash Analytics,AI,USA,-,"Google Developer Product Group, Firebase",[237]
"March 8, 2017",Kaggle,Data science,AI,USA,,Google Cloud Platform,[238]
